Magic_Item_ID	Type	Rarity	Roll_Min	Roll_Max	Item	Decision_Type	Info_1	Info_2	Active
magic:armaments:rare:daern-s-instant-fortress	Armaments	Rare	21.0	22.0	Daern’s Instant Fortress	none			1
magic:armaments:rare:dagger-of-venom	Armaments	Rare	23.0	25.0	Dagger of Venom	none			1
magic:armaments:rare:dragon-slayer	Armaments	Rare	26.0	28.0	Dragon Slayer	none			1
magic:armaments:rare:elven-chain	Armaments	Rare	29.0	31.0	Elven Chain	none			1
magic:armaments:rare:enspelled-armor	Armaments	Rare	32.0	34.0	Enspelled Armor	enspelled_item	armor		1
magic:armaments:rare:enspelled-weapon	Armaments	Rare	35.0	37.0	Enspelled Weapon	enspelled_item	weapon		1
magic:armaments:rare:flame-tongue	Armaments	Rare	38.0	40.0	Flame Tongue	none			1
magic:armaments:rare:giant-slayer	Armaments	Rare	41.0	43.0	Giant Slayer	none			1
magic:armaments:rare:horn-of-blasting	Armaments	Rare	44.0	46.0	Horn of Blasting	none			1
magic:armaments:rare:horn-of-valhalla	Armaments	Rare	47.0	48.0	Horn of Valhalla	variant_group	horn_brass_silver		1
magic:armaments:rare:ioun-stone	Armaments	Rare	49.0	51.0	Ioun Stone	fixed_variant	protection		1
magic:armaments:rare:mace-of-disruption	Armaments	Rare	52.0	54.0	Mace of Disruption	none			1
magic:armaments:rare:mace-of-smiting	Armaments	Rare	55.0	57.0	Mace of Smiting	none			1
magic:armaments:rare:mace-of-terror	Armaments	Rare	58.0	60.0	Mace of Terror	none			1
magic:armaments:rare:potion-of-giant-strength	Armaments	Rare	61.0	63.0	Potion of Giant Strength	fixed_variant	fire		1
magic:armaments:rare:potion-of-giant-strength:2	Armaments	Rare	64.0	66.0	Potion of Giant Strength	variant_group	giant_potion_frost_stone		1
magic:armaments:rare:potion-of-heroism	Armaments	Rare	67.0	69.0	Potion of Heroism	none			1
magic:armaments:rare:potion-of-invulnerability	Armaments	Rare	70.0	72.0	Potion of Invulnerability	none			1
magic:armaments:rare:ring-of-protection	Armaments	Rare	73.0	75.0	Ring of Protection	none			1
magic:armaments:rare:ring-of-the-ram	Armaments	Rare	76.0	78.0	Ring of the Ram	none			1
magic:armaments:rare:shield-2	Armaments	Rare	79.0	81.0	Shield, +2	none			1
magic:armaments:rare:shield-of-missile-attraction	Armaments	Rare	82.0	84.0	Shield of Missile Attraction	none			1
magic:armaments:rare:sun-blade	Armaments	Rare	85.0	86.0	Sun Blade	none			1
magic:armaments:rare:sword-of-life-stealing	Armaments	Rare	87.0	88.0	Sword of Life Stealing	none			1
magic:armaments:rare:sword-of-wounding	Armaments	Rare	89.0	90.0	Sword of Wounding	none			1
magic:armaments:rare:tentacle-rod	Armaments	Rare	91.0	92.0	Tentacle Rod	none			1
magic:armaments:rare:vicious-weapon	Armaments	Rare	93.0	94.0	Vicious Weapon	none			1
magic:armaments:rare:weapon-2	Armaments	Rare	95.0	97.0	Weapon, +2	none			1
magic:armaments:rare:wraps-of-unarmed-power-2	Armaments	Rare	98.0	100.0	Wraps of Unarmed Power, +2	none			1
magic:armaments:very-rare:ammunition-3	Armaments	Very Rare	1.0	3.0	Ammunition, +3	none			1
magic:armaments:very-rare:ammunition-of-slaying	Armaments	Very Rare	4.0	6.0	Ammunition of Slaying	none			1
magic:armaments:very-rare:animated-shield	Armaments	Very Rare	7.0	9.0	Animated Shield	none			1
magic:armaments:very-rare:armor-2	Armaments	Very Rare	10.0	12.0	Armor, +2	none			1
magic:armaments:very-rare:belt-of-giant-strength	Armaments	Very Rare	13.0	14.0	Belt of Giant Strength	fixed_variant	fire		1
magic:armaments:very-rare:belt-of-giant-strength:2	Armaments	Very Rare	15.0	17.0	Belt of Giant Strength	variant_group	giant_belt_frost_stone		1
magic:armaments:very-rare:dancing-sword	Armaments	Very Rare	18.0	19.0	Dancing Sword	none			1
magic:armaments:very-rare:demon-armor	Armaments	Very Rare	20.0	22.0	Demon Armor	none			1
magic:armaments:very-rare:dragon-scale-mail	Armaments	Very Rare	23.0	25.0	Dragon Scale Mail	none			1
magic:armaments:very-rare:dwarven-plate	Armaments	Very Rare	26.0	28.0	Dwarven Plate	none			1
magic:armaments:very-rare:dwarven-thrower	Armaments	Very Rare	29.0	31.0	Dwarven Thrower	none			1
magic:armaments:very-rare:energy-bow	Armaments	Very Rare	32.0	34.0	Energy Bow	none			1
magic:armaments:very-rare:enspelled-armor	Armaments	Very Rare	35.0	37.0	Enspelled Armor	enspelled_item	armor		1
magic:armaments:very-rare:enspelled-weapon	Armaments	Very Rare	38.0	40.0	Enspelled Weapon	enspelled_item	weapon		1
magic:armaments:very-rare:executioner-s-axe	Armaments	Very Rare	41.0	43.0	Executioner’s Axe	none			1
magic:armaments:very-rare:frost-brand	Armaments	Very Rare	44.0	46.0	Frost Brand	none			1
magic:armaments:very-rare:horn-of-valhalla	Armaments	Very Rare	47.0	49.0	Horn of Valhalla	fixed_variant	bronze		1
magic:armaments:very-rare:ioun-stone	Armaments	Very Rare	50.0	52.0	Ioun Stone	fixed_variant	strength		1
magic:armaments:very-rare:lute-of-thunderous-thumping	Armaments	Very Rare	53.0	55.0	Lute of Thunderous Thumping	none			1
magic:armaments:very-rare:manual-of-gainful-exercise	Armaments	Very Rare	56.0	58.0	Manual of Gainful Exercise	none			1
magic:armaments:very-rare:nine-lives-stealer	Armaments	Very Rare	59.0	61.0	Nine Lives Stealer	none			1
magic:armaments:very-rare:oathbow	Armaments	Very Rare	62.0	64.0	Oathbow	none			1
magic:armaments:very-rare:oil-of-sharpness	Armaments	Very Rare	65.0	68.0	Oil of Sharpness	none			1
magic:armaments:very-rare:potion-of-giant-strength	Armaments	Very Rare	69.0	72.0	Potion of Giant Strength	fixed_variant	cloud		1
magic:armaments:very-rare:quarterstaff-of-the-acrobat	Armaments	Very Rare	73.0	75.0	Quarterstaff of the Acrobat	none			1
magic:armaments:very-rare:scimitar-of-speed	Armaments	Very Rare	76.0	78.0	Scimitar of Speed	none			1
magic:armaments:very-rare:shield-3	Armaments	Very Rare	79.0	82.0	Shield, +3	none			1
magic:armaments:very-rare:shield-of-the-cavalier	Armaments	Very Rare	83.0	85.0	Shield of the Cavalier	none			1
magic:armaments:very-rare:spellguard-shield	Armaments	Very Rare	86.0	88.0	Spellguard Shield	none			1
magic:armaments:very-rare:sword-of-sharpness	Armaments	Very Rare	89.0	91.0	Sword of Sharpness	none			1
magic:armaments:very-rare:thunderous-greatclub	Armaments	Very Rare	92.0	94.0	Thunderous Greatclub	none			1
magic:armaments:very-rare:weapon-3	Armaments	Very Rare	95.0	97.0	Weapon, +3	none			1
magic:armaments:very-rare:wraps-of-unarmed-power-3	Armaments	Very Rare	98.0	100.0	Wraps of Unarmed Power, +3	none			1
magic:armaments:legendary:armor-3	Armaments	Legendary	1.0	6.0	Armor, +3	none			1
magic:armaments:legendary:armor-of-invulnerability	Armaments	Legendary	7.0	12.0	Armor of Invulnerability	none			1
magic:armaments:legendary:belt-of-giant-strength	Armaments	Legendary	13.0	18.0	Belt of Giant Strength	fixed_variant	cloud		1
magic:armaments:legendary:belt-of-giant-strength:2	Armaments	Legendary	19.0	21.0	Belt of Giant Strength	fixed_variant	storm		1
magic:armaments:legendary:defender	Armaments	Legendary	22.0	27.0	Defender	none			1
magic:armaments:legendary:efreeti-chain	Armaments	Legendary	28.0	33.0	Efreeti Chain	none			1
magic:armaments:legendary:enspelled-armor	Armaments	Legendary	34.0	39.0	Enspelled Armor	enspelled_item	armor		1
magic:armaments:legendary:enspelled-weapon	Armaments	Legendary	40.0	45.0	Enspelled Weapon	enspelled_item	weapon		1
magic:armaments:legendary:hammer-of-thunderbolts	Armaments	Legendary	46.0	51.0	Hammer of Thunderbolts	none			1
magic:armaments:legendary:holy-avenger	Armaments	Legendary	52.0	56.0	Holy Avenger	none			1
magic:armaments:legendary:horn-of-valhalla	Armaments	Legendary	57.0	62.0	Horn of Valhalla	fixed_variant	iron		1
magic:armaments:legendary:luck-blade	Armaments	Legendary	63.0	68.0	Luck Blade	none			1
magic:armaments:legendary:moonblade	Armaments	Legendary	69.0	72.0	Moonblade	none			1
magic:armaments:legendary:plate-armor-of-etherealness	Armaments	Legendary	73.0	78.0	Plate Armor of Etherealness	none			1
magic:armaments:legendary:potion-of-giant-strength	Armaments	Legendary	79.0	87.0	Potion of Giant Strength	fixed_variant	storm		1
magic:armaments:legendary:rod-of-lordly-might	Armaments	Legendary	88.0	90.0	Rod of Lordly Might	none			1
magic:armaments:legendary:sword-of-answering	Armaments	Legendary	91.0	95.0	Sword of Answering	none			1
magic:armaments:legendary:vorpal-sword	Armaments	Legendary	96.0	100.0	Vorpal Sword	none			1
magic:implements:common:bead-of-nourishment	Implements	Common	1.0	2.0	Bead of Nourishment	none			1
magic:implements:common:bead-of-refreshment	Implements	Common	3.0	4.0	Bead of Refreshment	none			1
magic:implements:common:boots-of-false-tracks	Implements	Common	5.0	6.0	Boots of False Tracks	none			1
magic:implements:common:candle-of-the-deep	Implements	Common	7.0	8.0	Candle of the Deep	none			1
magic:implements:common:charlatan-s-die	Implements	Common	9.0	10.0	Charlatan’s Die	none			1
magic:implements:common:cloak-of-many-fashions	Implements	Common	11.0	13.0	Cloak of Many Fashions	none			1
magic:implements:common:clockwork-amulet	Implements	Common	14.0	15.0	Clockwork Amulet	none			1
magic:implements:common:ear-horn-of-hearing	Implements	Common	16.0	17.0	Ear Horn of Hearing	none			1
magic:implements:common:ersatz-eye	Implements	Common	18.0	19.0	Ersatz Eye	none			1
magic:implements:common:heward-s-handy-spice-pouch	Implements	Common	20.0	21.0	Heward’s Handy Spice Pouch	none			1
magic:implements:common:horn-of-silent-alarm	Implements	Common	22.0	23.0	Horn of Silent Alarm	none			1
magic:implements:common:instrument-of-illusions	Implements	Common	24.0	25.0	Instrument of Illusions	none			1
magic:implements:common:instrument-of-scribing	Implements	Common	26.0	27.0	Instrument of Scribing	none			1
magic:implements:common:lock-of-trickery	Implements	Common	28.0	29.0	Lock of Trickery	none			1
magic:implements:common:moon-touched-sword	Implements	Common	30.0	32.0	Moon-Touched Sword	none			1
magic:implements:common:mystery-key	Implements	Common	33.0	34.0	Mystery Key	none			1
magic:implements:common:orb-of-direction	Implements	Common	35.0	36.0	Orb of Direction	none			1
magic:implements:common:orb-of-time	Implements	Common	37.0	38.0	Orb of Time	none			1
magic:implements:common:perfume-of-bewitching	Implements	Common	39.0	40.0	Perfume of Bewitching	none			1
magic:implements:common:pipe-of-smoke-monsters	Implements	Common	41.0	42.0	Pipe of Smoke Monsters	none			1
magic:implements:common:pole-of-angling	Implements	Common	43.0	44.0	Pole of Angling	none			1
magic:implements:common:pole-of-collapsing	Implements	Common	45.0	46.0	Pole of Collapsing	none			1
magic:implements:common:potion-of-climbing	Implements	Common	47.0	52.0	Potion of Climbing	none			1
magic:implements:common:potion-of-comprehension	Implements	Common	53.0	58.0	Potion of Comprehension	none			1
magic:implements:common:potion-of-healing	Implements	Common	59.0	74.0	Potion of Healing	none			1
magic:implements:common:prosthetic-limb	Implements	Common	75.0	76.0	Prosthetic Limb	none			1
magic:implements:common:rope-of-mending	Implements	Common	77.0	78.0	Rope of Mending	none			1
magic:implements:common:staff-of-birdcalls	Implements	Common	79.0	80.0	Staff of Birdcalls	none			1
magic:implements:common:sylvan-talon	Implements	Common	81.0	82.0	Sylvan Talon	none			1
magic:implements:common:talking-doll	Implements	Common	83.0	84.0	Talking Doll	none			1
magic:implements:common:tankard-of-sobriety	Implements	Common	85.0	86.0	Tankard of Sobriety	none			1
magic:implements:common:veteran-s-cane	Implements	Common	87.0	90.0	Veteran’s Cane	none			1
magic:implements:common:walloping-ammunition	Implements	Common	91.0	93.0	Walloping Ammunition	none			1
magic:implements:uncommon:wand-of-conducting	Implements	Uncommon	94.0	96.0	Wand of Conducting	none			1
magic:implements:uncommon:wand-of-pyrotechnics	Implements	Uncommon	97.0	100.0	Wand of Pyrotechnics	none			1
magic:implements:uncommon:alchemy-jug	Implements	Uncommon	1.0	2.0	Alchemy Jug	none			1
magic:implements:uncommon:ammunition-1	Implements	Uncommon	3.0	6.0	Ammunition, +1	none			1
magic:implements:uncommon:bag-of-holding	Implements	Uncommon	7.0	10.0	Bag of Holding	none			1
magic:implements:uncommon:boots-of-elvenkind	Implements	Uncommon	11.0	12.0	Boots of Elvenkind	none			1
magic:implements:uncommon:boots-of-striding-and-springing	Implements	Uncommon	13.0	14.0	Boots of Striding and Springing	none			1
magic:implements:uncommon:boots-of-the-winterlands	Implements	Uncommon	15.0	16.0	Boots of the Winterlands	none			1
magic:implements:uncommon:broom-of-flying	Implements	Uncommon	17.0	18.0	Broom of Flying	none			1
magic:implements:uncommon:cap-of-water-breathing	Implements	Uncommon	19.0	20.0	Cap of Water Breathing	none			1
magic:implements:uncommon:cloak-of-elvenkind	Implements	Uncommon	21.0	22.0	Cloak of Elvenkind	none			1
magic:implements:uncommon:cloak-of-protection	Implements	Uncommon	23.0	24.0	Cloak of Protection	none			1
magic:implements:uncommon:cloak-of-the-manta-ray	Implements	Uncommon	25.0	26.0	Cloak of the Manta Ray	none			1
magic:implements:uncommon:decanter-of-endless-water	Implements	Uncommon	27.0	27.0	Decanter of Endless Water	none			1
magic:implements:uncommon:driftglobe	Implements	Uncommon	28.0	30.0	Driftglobe	none			1
magic:implements:uncommon:dust-of-disappearance	Implements	Uncommon	31.0	32.0	Dust of Disappearance	none			1
magic:implements:uncommon:dust-of-dryness	Implements	Uncommon	33.0	34.0	Dust of Dryness	none			1
magic:implements:uncommon:dust-of-sneezing-and-choking	Implements	Uncommon	35.0	36.0	Dust of Sneezing and Choking	none			1
magic:implements:uncommon:enspelled-weapon	Implements	Uncommon	37.0	38.0	Enspelled Weapon	enspelled_item	weapon		1
magic:implements:uncommon:eyes-of-minute-seeing	Implements	Uncommon	39.0	40.0	Eyes of Minute Seeing	none			1
magic:implements:uncommon:eyes-of-the-eagle	Implements	Uncommon	41.0	42.0	Eyes of the Eagle	none			1
magic:implements:uncommon:gloves-of-missile-snaring	Implements	Uncommon	43.0	44.0	Gloves of Missile Snaring	none			1
magic:implements:uncommon:gloves-of-swimming-and-climbing	Implements	Uncommon	45.0	46.0	Gloves of Swimming and Climbing	none			1
magic:implements:uncommon:gloves-of-thievery	Implements	Uncommon	47.0	48.0	Gloves of Thievery	none			1
magic:implements:uncommon:goggles-of-night	Implements	Uncommon	49.0	50.0	Goggles of Night	none			1
magic:implements:uncommon:hag-eye	Implements	Uncommon	51.0	51.0	Hag Eye	none			1
magic:implements:uncommon:helm-of-comprehending-languages	Implements	Uncommon	52.0	54.0	Helm of Comprehending Languages	none			1
magic:implements:uncommon:immovable-rod	Implements	Uncommon	55.0	55.0	Immovable Rod	none			1
magic:implements:uncommon:instrument-of-the-bards	Implements	Uncommon	56.0	57.0	Instrument of the Bards	variant_group	bard_instrument_uncommon		1
magic:implements:uncommon:lantern-of-revealing	Implements	Uncommon	58.0	59.0	Lantern of Revealing	none			1
magic:implements:uncommon:nature-s-mantle	Implements	Uncommon	60.0	61.0	Nature’s Mantle	none			1
magic:implements:uncommon:oil-of-slipperiness	Implements	Uncommon	62.0	63.0	Oil of Slipperiness	none			1
magic:implements:uncommon:pipes-of-haunting	Implements	Uncommon	64.0	65.0	Pipes of Haunting	none			1
magic:implements:uncommon:pipes-of-the-sewers	Implements	Uncommon	66.0	67.0	Pipes of the Sewers	none			1
magic:implements:uncommon:potion-of-growth	Implements	Uncommon	68.0	71.0	Potion of Growth	none			1
magic:implements:uncommon:potion-of-healing	Implements	Uncommon	72.0	80.0	Potion of Healing	fixed_variant	greater		1
magic:implements:uncommon:potion-of-water-breathing	Implements	Uncommon	81.0	84.0	Potion of Water Breathing	none			1
magic:implements:uncommon:quaal-s-feather-token	Implements	Uncommon	85.0	86.0	Quaal’s Feather Token	variant_group	feather_basic		1
magic:implements:uncommon:ring-of-jumping	Implements	Uncommon	87.0	88.0	Ring of Jumping	none			1
magic:implements:uncommon:ring-of-swimming	Implements	Uncommon	89.0	90.0	Ring of Swimming	none			1
magic:implements:uncommon:ring-of-warmth	Implements	Uncommon	91.0	92.0	Ring of Warmth	none			1
magic:implements:uncommon:robe-of-useful-items	Implements	Uncommon	93.0	94.0	Robe of Useful Items	none			1
magic:implements:uncommon:rope-of-climbing	Implements	Uncommon	95.0	96.0	Rope of Climbing	none			1
magic:implements:uncommon:stone-of-good-luck	Implements	Uncommon	97.0	98.0	Stone of Good Luck	none			1
magic:implements:uncommon:wand-of-secrets	Implements	Uncommon	99.0	100.0	Wand of Secrets	none			1
magic:implements:rare:ammunition-2	Implements	Rare	1.0	4.0	Ammunition, +2	none			1
magic:implements:rare:bag-of-beans	Implements	Rare	5.0	8.0	Bag of Beans	none			1
magic:implements:rare:belt-of-dwarvenkind	Implements	Rare	9.0	12.0	Belt of Dwarvenkind	none			1
magic:implements:rare:boots-of-levitation	Implements	Rare	13.0	16.0	Boots of Levitation	none			1
magic:implements:rare:boots-of-speed	Implements	Rare	17.0	20.0	Boots of Speed	none			1
magic:implements:rare:chime-of-opening	Implements	Rare	21.0	24.0	Chime of Opening	none			1
magic:implements:rare:dimensional-shackles	Implements	Rare	25.0	28.0	Dimensional Shackles	none			1
magic:implements:rare:enspelled-weapon	Implements	Rare	29.0	32.0	Enspelled Weapon	enspelled_item	weapon		1
magic:implements:rare:folding-boat	Implements	Rare	33.0	36.0	Folding Boat	none			1
magic:implements:rare:glamoured-studded-leather	Implements	Rare	37.0	40.0	Glamoured Studded Leather	none			1
magic:implements:rare:heward-s-handy-haversack	Implements	Rare	41.0	44.0	Heward’s Handy Haversack	none			1
magic:implements:rare:horseshoes-of-speed	Implements	Rare	45.0	48.0	Horseshoes of Speed	none			1
magic:implements:rare:instrument-of-the-bards	Implements	Rare	49.0	52.0	Instrument of the Bards	variant_group	bard_instrument_rare		1
magic:implements:rare:ioun-stone	Implements	Rare	53.0	56.0	Ioun Stone	fixed_variant	awareness		1
magic:implements:rare:portable-hole	Implements	Rare	57.0	60.0	Portable Hole	none			1
magic:implements:rare:potion-of-diminution	Implements	Rare	61.0	64.0	Potion of Diminution	none			1
magic:implements:rare:potion-of-gaseous-form	Implements	Rare	65.0	68.0	Potion of Gaseous Form	none			1
magic:implements:rare:potion-of-healing	Implements	Rare	69.0	76.0	Potion of Healing	fixed_variant	superior		1
magic:implements:rare:quaal-s-feather-token	Implements	Rare	77.0	80.0	Quaal’s Feather Token	variant_group	feather_rare		1
magic:implements:rare:ring-of-evasion	Implements	Rare	81.0	84.0	Ring of Evasion	none			1
magic:implements:rare:ring-of-free-action	Implements	Rare	85.0	88.0	Ring of Free Action	none			1
magic:implements:rare:rope-of-entanglement	Implements	Rare	89.0	92.0	Rope of Entanglement	none			1
magic:implements:rare:staff-of-healing	Implements	Rare	93.0	96.0	Staff of Healing	none			1
magic:implements:rare:wand-of-enemy-detection	Implements	Rare	97.0	100.0	Wand of Enemy Detection	none			1
magic:implements:very-rare:ammunition-3	Implements	Very Rare	1.0	7.0	Ammunition, +3	none			1
magic:implements:very-rare:bag-of-devouring	Implements	Very Rare	8.0	14.0	Bag of Devouring	none			1
magic:implements:very-rare:carpet-of-flying	Implements	Very Rare	15.0	21.0	Carpet of Flying	none			1
magic:implements:very-rare:enspelled-weapon	Implements	Very Rare	22.0	28.0	Enspelled Weapon	enspelled_item	weapon		1
magic:implements:very-rare:horseshoes-of-a-zephyr	Implements	Very Rare	29.0	35.0	Horseshoes of a Zephyr	none			1
magic:implements:very-rare:instrument-of-the-bards	Implements	Very Rare	36.0	42.0	Instrument of the Bards	fixed_variant	Anstruth harp		1
magic:implements:very-rare:ioun-stone	Implements	Very Rare	43.0	49.0	Ioun Stone	fixed_variant	agility		1
magic:implements:very-rare:lute-of-thunderous-thumping	Implements	Very Rare	50.0	56.0	Lute of Thunderous Thumping	none			1
magic:implements:very-rare:manual-of-quickness-of-action	Implements	Very Rare	57.0	63.0	Manual of Quickness of Action	none			1
magic:implements:very-rare:nolzur-s-marvelous-pigments	Implements	Very Rare	64.0	70.0	Nolzur’s Marvelous Pigments	none			1
magic:implements:very-rare:potion-of-flying	Implements	Very Rare	71.0	77.0	Potion of Flying	none			1
magic:implements:very-rare:potion-of-healing	Implements	Very Rare	78.0	86.0	Potion of Healing	fixed_variant	supreme		1
magic:implements:very-rare:potion-of-speed	Implements	Very Rare	87.0	93.0	Potion of Speed	none			1
magic:implements:very-rare:tome-of-leadership-and-influence	Implements	Very Rare	94.0	100.0	Tome of Leadership and Influence	none			1
magic:implements:legendary:enspelled-weapon	Implements	Legendary	1.0	17.0	Enspelled Weapon	enspelled_item	weapon		1
magic:implements:legendary:instrument-of-the-bards	Implements	Legendary	18.0	34.0	Instrument of the Bards	fixed_variant	Ollamh harp		1
magic:implements:legendary:sovereign-glue	Implements	Legendary	35.0	54.0	Sovereign Glue	none			1
magic:implements:legendary:sphere-of-annihilation	Implements	Legendary	55.0	70.0	Sphere of Annihilation	none			1
magic:implements:legendary:talisman-of-the-sphere	Implements	Legendary	71.0	83.0	Talisman of the Sphere	none			1
magic:implements:legendary:universal-solvent	Implements	Legendary	84.0	100.0	Universal Solvent	none			1
magic:relics:common:ear-horn-of-hearing	Relics	Common	1.0	8.0	Ear Horn of Hearing	none			1
magic:relics:common:potion-of-healing	Relics	Common	9.0	28.0	Potion of Healing	none			1
magic:relics:common:pot-of-awakening	Relics	Common	29.0	36.0	Pot of Awakening	none			1
magic:relics:common:ruby-of-the-war-mage	Relics	Common	37.0	44.0	Ruby of the War Mage	none			1
magic:relics:common:shield-of-expression	Relics	Common	45.0	52.0	Shield of Expression	none			1
magic:relics:common:smoldering-armor	Relics	Common	53.0	60.0	Smoldering Armor	none			1
magic:relics:common:spell-scroll	Relics	Common	61.0	80.0	Spell Scroll	spell_level		1.0	1
magic:relics:common:staff-of-adornment	Relics	Common	81.0	90.0	Staff of Adornment	none			1
magic:relics:common:staff-of-flowers	Relics	Common	91.0	100.0	Staff of Flowers	none			1
magic:relics:uncommon:enspelled-staff	Relics	Uncommon	1.0	5.0	Enspelled Staff	enspelled_item	staff		1
magic:relics:uncommon:keoghtom-s-ointment	Relics	Uncommon	6.0	10.0	Keoghtom’s Ointment	none			1
magic:relics:uncommon:mariner-s-armor	Relics	Uncommon	11.0	15.0	Mariner’s Armor	none			1
magic:relics:uncommon:nature-s-mantle	Relics	Uncommon	16.0	20.0	Nature’s Mantle	none			1
magic:relics:uncommon:pearl-of-power	Relics	Uncommon	21.0	25.0	Pearl of Power	none			1
magic:relics:uncommon:periapt-of-health	Relics	Uncommon	26.0	30.0	Periapt of Health	none			1
magic:relics:uncommon:periapt-of-wound-closure	Relics	Uncommon	31.0	35.0	Periapt of Wound Closure	none			1
magic:relics:uncommon:potion-of-animal-friendship	Relics	Uncommon	36.0	40.0	Potion of Animal Friendship	none			1
magic:relics:uncommon:potion-of-healing	Relics	Uncommon	41.0	55.0	Potion of Healing	fixed_variant	greater		1
magic:relics:uncommon:potion-of-resistance	Relics	Uncommon	56.0	60.0	Potion of Resistance	none			1
magic:relics:uncommon:ring-of-water-walking	Relics	Uncommon	61.0	65.0	Ring of Water Walking	none			1
magic:relics:uncommon:sending-stones	Relics	Uncommon	66.0	70.0	Sending Stones	none			1
magic:relics:uncommon:spell-scroll	Relics	Uncommon	71.0	80.0	Spell Scroll	spell_level	2.0	3.0	1
magic:relics:uncommon:staff-of-the-adder	Relics	Uncommon	81.0	85.0	Staff of the Adder	none			1
magic:relics:uncommon:staff-of-the-python	Relics	Uncommon	86.0	90.0	Staff of the Python	none			1
magic:relics:uncommon:wand-of-magic-detection	Relics	Uncommon	91.0	95.0	Wand of Magic Detection	none			1
magic:relics:uncommon:wand-of-the-war-mage-1	Relics	Uncommon	96.0	100.0	Wand of the War Mage, +1	none			1
magic:relics:rare:amulet-of-health	Relics	Rare	1.0	3.0	Amulet of Health	none			1
magic:relics:rare:armor-1	Relics	Rare	4.0	7.0	Armor, +1	none			1
magic:relics:rare:bowl-of-commanding-water-elementals	Relics	Rare	8.0	9.0	Bowl of Commanding Water Elementals	none			1
magic:relics:rare:brazier-of-commanding-fire-elementals	Relics	Rare	10.0	11.0	Brazier of Commanding Fire Elementals	none			1
magic:relics:rare:censer-of-controlling-air-elementals	Relics	Rare	12.0	13.0	Censer of Controlling Air Elementals	none			1
magic:relics:rare:elixir-of-health	Relics	Rare	14.0	16.0	Elixir of Health	none			1
magic:relics:rare:enspelled-staff	Relics	Rare	17.0	19.0	Enspelled Staff	enspelled_item	staff		1
magic:relics:rare:horn-of-blasting	Relics	Rare	20.0	22.0	Horn of Blasting	none			1
magic:relics:rare:horn-of-valhalla	Relics	Rare	23.0	25.0	Horn of Valhalla	variant_group	horn_brass_silver		1
magic:relics:rare:ioun-stone	Relics	Rare	26.0	28.0	Ioun Stone	variant_group	ioun_relic_rare		1
magic:relics:rare:mace-of-disruption	Relics	Rare	29.0	31.0	Mace of Disruption	none			1
magic:relics:rare:mace-of-smiting	Relics	Rare	32.0	34.0	Mace of Smiting	none			1
magic:relics:rare:mace-of-terror	Relics	Rare	35.0	37.0	Mace of Terror	none			1
magic:relics:rare:necklace-of-prayer-beads	Relics	Rare	38.0	40.0	Necklace of Prayer Beads	none			1
magic:relics:rare:periapt-of-proof-against-poison	Relics	Rare	41.0	43.0	Periapt of Proof against Poison	none			1
magic:relics:rare:potion-of-healing	Relics	Rare	44.0	51.0	Potion of Healing	fixed_variant	superior		1
magic:relics:rare:ring-of-animal-influence	Relics	Rare	52.0	54.0	Ring of Animal Influence	none			1
magic:relics:rare:ring-of-resistance	Relics	Rare	55.0	58.0	Ring of Resistance	none			1
magic:relics:rare:ring-of-spell-storing	Relics	Rare	59.0	61.0	Ring of Spell Storing	none			1
magic:relics:rare:scroll-of-protection	Relics	Rare	62.0	65.0	Scroll of Protection	none			1
magic:relics:rare:spell-scroll	Relics	Rare	66.0	73.0	Spell Scroll	spell_level	4.0	5.0	1
magic:relics:rare:staff-of-charming	Relics	Rare	74.0	76.0	Staff of Charming	none			1
magic:relics:rare:staff-of-healing	Relics	Rare	77.0	79.0	Staff of Healing	none			1
magic:relics:rare:staff-of-swarming-insects	Relics	Rare	80.0	82.0	Staff of Swarming Insects	none			1
magic:relics:rare:staff-of-the-woodlands	Relics	Rare	83.0	85.0	Staff of the Woodlands	none			1
magic:relics:rare:staff-of-withering	Relics	Rare	86.0	88.0	Staff of Withering	none			1
magic:relics:rare:stone-of-controlling-earth-elementals	Relics	Rare	89.0	90.0	Stone of Controlling Earth Elementals	none			1
magic:relics:rare:tentacle-rod	Relics	Rare	91.0	93.0	Tentacle Rod	none			1
magic:relics:rare:wand-of-paralysis	Relics	Rare	94.0	96.0	Wand of Paralysis	none			1
magic:relics:rare:wand-of-the-war-mage-2	Relics	Rare	97.0	100.0	Wand of the War Mage, +2	none			1
magic:relics:very-rare:armor-2	Relics	Very Rare	1.0	5.0	Armor, +2	none			1
magic:relics:very-rare:candle-of-invocation	Relics	Very Rare	6.0	10.0	Candle of Invocation	none			1
magic:relics:very-rare:cauldron-of-rebirth	Relics	Very Rare	11.0	15.0	Cauldron of Rebirth	none			1
magic:relics:very-rare:enspelled-staff	Relics	Very Rare	16.0	20.0	Enspelled Staff	enspelled_item	staff		1
magic:relics:very-rare:horn-of-valhalla	Relics	Very Rare	21.0	25.0	Horn of Valhalla	fixed_variant	bronze		1
magic:relics:very-rare:ioun-stone	Relics	Very Rare	26.0	30.0	Ioun Stone	fixed_variant	insight		1
magic:relics:very-rare:manual-of-bodily-health	Relics	Very Rare	31.0	35.0	Manual of Bodily Health	none			1
magic:relics:very-rare:potion-of-healing	Relics	Very Rare	36.0	43.0	Potion of Healing	fixed_variant	supreme		1
